customer_id,first_purchase,last_purchase,total_transactions,total_spent,avg_order_value,days_since_last,is_churned
CLR-00001,2022-04-24,2024-11-29,7,954.2,136.31,32,False
CLR-00003,2023-05-08,2023-05-08,1,40.41,40.41,603,True
CLR-00004,2022-01-08,2024-06-27,2,265.35,132.68,187,True
CLR-00005,2024-03-20,2024-12-27,3,300.66,100.22,4,False
CLR-00006,2024-01-11,2024-12-20,7,1138.03,162.58,11,False
CLR-00007,2024-11-20,2024-11-20,1,67.12,67.12,41,False
CLR-00008,2023-01-10,2024-05-30,7,613.88,87.7,215,True
CLR-00009,2024-12-03,2024-12-03,1,52.9,52.9,28,False
CLR-00011,2023-08-20,2024-10-04,4,221.82,55.46,88,False
CLR-00012,2022-01-28,2024-10-17,12,885.65,73.8,75,False
CLR-00013,2022-03-06,2024-12-10,14,1610.7,115.05,21,False
CLR-00014,2022-09-23,2024-04-03,2,360.12,180.06,272,True
CLR-00015,2022-01-29,2024-10-12,23,2606.08,113.31,80,False
CLR-00016,2024-04-02,2024-12-24,4,792.26,198.06,7,False
CLR-00017,2023-04-20,2023-11-04,3,497.35,165.78,423,True
CLR-00018,2022-04-08,2024-10-27,6,660.08,110.01,65,False
CLR-00019,2024-04-21,2024-11-11,5,656.0,131.2,50,False
CLR-00020,2024-04-26,2024-10-29,7,896.73,128.1,63,False
CLR-00021,2023-04-18,2024-10-20,6,819.62,136.6,72,False
CLR-00022,2022-01-02,2022-12-27,6,592.8,98.8,735,True
CLR-00023,2022-04-29,2024-09-23,13,2148.43,165.26,99,False
CLR-00024,2022-11-08,2024-04-29,6,621.46,103.58,246,True
CLR-00025,2023-06-12,2023-12-24,2,272.28,136.14,373,True
CLR-00026,2022-01-27,2024-08-09,30,3483.73,116.12,144,False
CLR-00027,2022-12-10,2024-02-25,8,939.23,117.4,310,True
CLR-00028,2022-10-01,2024-11-05,7,564.59,80.66,56,False
CLR-00029,2024-04-24,2024-11-14,5,460.12,92.02,47,False
CLR-00030,2022-04-17,2024-10-01,26,2381.7,91.6,91,False
CLR-00031,2022-01-28,2023-05-19,5,328.94,65.79,592,True
CLR-00032,2023-10-14,2023-10-14,1,79.73,79.73,444,True
CLR-00033,2022-01-01,2024-04-22,9,1028.17,114.24,253,True
CLR-00034,2022-01-06,2024-09-11,3,302.26,100.75,111,False
CLR-00035,2023-01-20,2023-12-29,3,318.22,106.07,368,True
CLR-00036,2022-07-07,2024-12-06,8,899.68,112.46,25,False
CLR-00037,2022-06-30,2023-10-19,5,621.36,124.27,439,True
CLR-00038,2024-03-07,2024-10-15,6,702.54,117.09,77,False
CLR-00039,2024-11-07,2024-11-07,1,48.68,48.68,54,False
CLR-00040,2024-09-07,2024-09-07,1,124.9,124.9,115,False
CLR-00041,2022-03-04,2023-07-02,3,664.5,221.5,548,True
CLR-00043,2024-10-19,2024-12-28,4,1303.48,325.87,3,False
CLR-00044,2022-10-03,2024-11-11,8,1051.66,131.46,50,False
CLR-00045,2022-09-07,2023-08-17,3,116.7,38.9,502,True
CLR-00046,2023-07-16,2023-12-29,2,190.63,95.32,368,True
CLR-00047,2023-12-04,2024-11-09,5,440.91,88.18,52,False
CLR-00048,2022-06-25,2024-12-09,11,1154.79,104.98,22,False
CLR-00049,2023-07-08,2024-09-07,10,868.21,86.82,115,False
CLR-00050,2022-05-08,2024-10-24,10,1147.22,114.72,68,False
CLR-00051,2022-10-24,2024-09-26,5,745.13,149.03,96,False
CLR-00052,2024-07-25,2024-07-25,1,71.01,71.01,159,False
CLR-00053,2024-12-11,2024-12-11,1,509.7,509.7,20,False
CLR-00054,2022-07-28,2024-09-25,8,1139.69,142.46,97,False
CLR-00055,2022-09-20,2024-09-28,2,278.74,139.37,94,False
CLR-00056,2022-05-23,2022-06-20,2,168.34,84.17,925,True
CLR-00057,2022-01-23,2024-11-03,13,1202.8,92.52,58,False
CLR-00058,2022-01-04,2024-05-28,15,1253.76,83.58,217,True
CLR-00059,2022-08-24,2024-11-06,11,1401.77,127.43,55,False
CLR-00060,2022-01-01,2024-10-06,26,2664.49,102.48,86,False
CLR-00061,2024-05-23,2024-09-11,7,600.38,85.77,111,False
CLR-00062,2022-03-25,2024-06-14,6,856.02,142.67,200,True
CLR-00063,2024-02-11,2024-12-12,8,843.55,105.44,19,False
CLR-00064,2022-07-24,2024-12-24,10,1099.37,109.94,7,False
CLR-00065,2023-05-11,2024-10-07,8,870.91,108.86,85,False
CLR-00066,2023-01-13,2023-01-13,1,65.52,65.52,718,True
CLR-00067,2022-01-27,2023-10-24,6,715.66,119.28,434,True
CLR-00068,2022-04-24,2022-04-24,1,78.9,78.9,982,True
CLR-00069,2022-02-28,2023-10-28,23,2750.5,119.59,430,True
CLR-00070,2022-07-21,2024-11-06,6,608.29,101.38,55,False
CLR-00071,2022-11-24,2024-06-09,6,645.43,107.57,205,True
CLR-00072,2022-07-03,2024-06-17,6,683.42,113.9,197,True
CLR-00073,2024-03-23,2024-11-03,3,343.89,114.63,58,False
CLR-00074,2023-03-04,2024-10-12,2,471.6,235.8,80,False
CLR-00075,2023-08-01,2023-08-01,1,183.9,183.9,518,True
CLR-00076,2022-06-13,2023-05-20,6,699.52,116.59,591,True
CLR-00077,2022-12-06,2024-01-07,2,285.95,142.98,359,True
CLR-00079,2022-09-26,2024-11-28,6,802.98,133.83,33,False
CLR-00080,2022-01-05,2024-12-29,38,5250.5,138.17,2,False
CLR-00081,2022-01-11,2024-12-31,13,1066.57,82.04,0,False
CLR-00082,2024-01-21,2024-09-16,4,347.79,86.95,106,False
CLR-00083,2022-05-19,2024-12-28,10,1442.83,144.28,3,False
CLR-00084,2023-02-21,2023-10-14,5,447.89,89.58,444,True
CLR-00085,2022-02-09,2024-12-19,42,4978.55,118.54,12,False
CLR-00086,2022-06-04,2023-07-18,4,660.68,165.17,532,True
CLR-00087,2022-12-10,2024-12-04,4,181.98,45.5,27,False
CLR-00088,2022-09-17,2023-05-20,5,581.75,116.35,591,True
CLR-00089,2022-01-06,2024-12-30,28,3031.15,108.26,1,False
CLR-00090,2022-03-09,2024-09-10,16,1882.2,117.64,112,False
CLR-00091,2022-06-22,2023-08-05,7,803.37,114.77,514,True
CLR-00092,2022-03-22,2023-08-08,13,1562.78,120.21,511,True
CLR-00093,2022-12-09,2023-06-06,2,223.8,111.9,574,True
CLR-00094,2023-01-20,2023-01-20,1,126.68,126.68,711,True
CLR-00095,2022-12-04,2024-12-12,14,1362.59,97.33,19,False
CLR-00096,2022-01-07,2024-12-10,11,1830.11,166.37,21,False
CLR-00097,2022-01-30,2024-12-05,16,1775.63,110.98,26,False
CLR-00098,2023-05-14,2023-05-14,1,107.8,107.8,597,True
CLR-00099,2022-05-25,2024-11-15,3,531.42,177.14,46,False
CLR-00101,2022-08-17,2023-01-15,2,240.03,120.01,716,True
CLR-00102,2022-05-22,2024-07-27,5,735.72,147.14,157,False
CLR-00103,2023-11-08,2024-06-15,2,278.25,139.12,199,True
CLR-00104,2022-04-07,2024-10-30,8,1030.76,128.84,62,False
CLR-00105,2024-05-08,2024-11-28,2,217.25,108.62,33,False
CLR-00106,2023-03-29,2023-03-29,1,37.71,37.71,643,True
CLR-00107,2022-02-22,2024-02-06,6,978.78,163.13,329,True
CLR-00108,2022-09-29,2023-08-19,5,627.18,125.44,500,True
CLR-00109,2023-05-07,2024-01-21,4,359.54,89.88,345,True
CLR-00110,2022-02-16,2024-11-29,16,1414.96,88.44,32,False
CLR-00112,2022-03-08,2023-05-08,4,397.35,99.34,603,True
CLR-00113,2023-02-16,2023-05-09,3,404.6,134.87,602,True
CLR-00114,2022-06-05,2023-12-01,4,581.98,145.5,396,True
CLR-00115,2022-06-24,2024-07-12,13,1309.79,100.75,172,False
CLR-00116,2022-08-19,2022-08-19,1,56.9,56.9,865,True
CLR-00117,2022-04-05,2024-06-30,10,1187.57,118.76,184,True
CLR-00118,2022-01-05,2024-12-04,10,1107.13,110.71,27,False
CLR-00119,2022-04-12,2024-10-26,12,1937.25,161.44,66,False
CLR-00120,2023-03-26,2024-06-30,2,213.56,106.78,184,True
CLR-00121,2024-07-23,2024-08-24,2,271.8,135.9,129,False
CLR-00122,2022-05-24,2024-07-24,7,920.07,131.44,160,False
CLR-00123,2024-11-12,2024-11-12,1,148.66,148.66,49,False
