customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_total,rfm_label
CLR-00001,32,7,954.2,4,3,4,11,Loyal Customers
CLR-00003,603,1,40.41,1,1,1,3,Lost
CLR-00004,187,2,265.35,2,1,2,5,Lost
CLR-00005,4,3,300.66,5,2,2,9,New Customers
CLR-00006,11,7,1138.03,5,3,4,12,Loyal Customers
CLR-00007,41,1,67.12,4,1,1,6,New Customers
CLR-00008,215,7,613.88,2,3,3,8,At Risk
CLR-00009,28,1,52.9,5,1,1,7,New Customers
CLR-00011,88,4,221.82,3,2,1,6,Other
CLR-00012,75,12,885.65,3,4,3,10,Loyal Customers
CLR-00013,21,14,1610.7,5,5,5,15,Champions
CLR-00014,272,2,360.12,2,1,2,5,Lost
CLR-00015,80,23,2606.08,3,5,5,13,Loyal Customers
CLR-00016,7,4,792.26,5,2,3,10,New Customers
CLR-00017,423,3,497.35,1,2,2,5,Lost
CLR-00018,65,6,660.08,4,3,3,10,Loyal Customers
CLR-00019,50,5,656.0,4,2,3,9,New Customers
CLR-00020,63,7,896.73,4,3,3,10,Loyal Customers
CLR-00021,72,6,819.62,3,3,3,9,Loyal Customers
CLR-00022,735,6,592.8,1,3,3,7,At Risk
CLR-00023,99,13,2148.43,3,5,5,13,Loyal Customers
CLR-00024,246,6,621.46,2,3,3,8,At Risk
CLR-00025,373,2,272.28,2,1,2,5,Lost
CLR-00026,144,30,3483.73,3,5,5,13,Loyal Customers
CLR-00027,310,8,939.23,2,3,4,9,At Risk
CLR-00028,56,7,564.59,4,3,3,10,Loyal Customers
CLR-00029,47,5,460.12,4,2,2,8,New Customers
CLR-00030,91,26,2381.7,3,5,5,13,Loyal Customers
CLR-00031,592,5,328.94,1,2,2,5,Lost
CLR-00032,444,1,79.73,1,1,1,3,Lost
CLR-00033,253,9,1028.17,2,4,4,10,At Risk
CLR-00034,111,3,302.26,3,2,2,7,Potential Loyalists
CLR-00035,368,3,318.22,2,2,2,6,Lost
CLR-00036,25,8,899.68,5,3,3,11,Loyal Customers
CLR-00037,439,5,621.36,1,2,3,6,Lost
CLR-00038,77,6,702.54,3,3,3,9,Loyal Customers
CLR-00039,54,1,48.68,4,1,1,6,New Customers
CLR-00040,115,1,124.9,3,1,1,5,Other
CLR-00041,548,3,664.5,1,2,3,6,Lost
CLR-00043,3,4,1303.48,5,2,4,11,New Customers
CLR-00044,50,8,1051.66,4,3,4,11,Loyal Customers
CLR-00045,502,3,116.7,1,2,1,4,Lost
CLR-00046,368,2,190.63,2,1,1,4,Lost
CLR-00047,52,5,440.91,4,2,2,8,New Customers
CLR-00048,22,11,1154.79,5,4,4,13,Champions
CLR-00049,115,10,868.21,3,4,3,10,Loyal Customers
CLR-00050,68,10,1147.22,4,4,4,12,Champions
CLR-00051,96,5,745.13,3,2,3,8,Potential Loyalists
CLR-00052,159,1,71.01,3,1,1,5,Other
CLR-00053,20,1,509.7,5,1,2,8,New Customers
CLR-00054,97,8,1139.69,3,3,4,10,Loyal Customers
CLR-00055,94,2,278.74,3,1,2,6,Potential Loyalists
