customer_id,registration_date,age_group,gender,city,region,preferred_channel,loyalty_tier,email_opt_in
CLR-00001,2022-02-13,55+,M,Saint-Étienne,Auvergne-Rhône-Alpes,store,bronze,True
CLR-00002,2024-09-07,45-54,F,Paris,Île-de-France,store,bronze,False
CLR-00003,2023-03-31,25-34,F,Angers,Pays de la Loire,online,bronze,True
CLR-00004,2021-08-20,25-34,F,Aix-en-Provence,Provence-Alpes-Côte d'Azur,online,bronze,True
CLR-00005,2024-02-24,45-54,F,Marseille,Provence-Alpes-Côte d'Azur,store,silver,True
CLR-00006,2024-01-10,25-34,F,Perpignan,Occitanie,omnichannel,platinum,False
CLR-00007,2024-08-03,18-24,M,Lyon,Auvergne-Rhône-Alpes,store,bronze,True
CLR-00008,2022-07-18,55+,F,Versailles,Île-de-France,store,bronze,True
CLR-00009,2024-07-30,25-34,M,Bordeaux,Nouvelle-Aquitaine,omnichannel,platinum,False
CLR-00010,2019-03-14,55+,F,Bayonne,Nouvelle-Aquitaine,online,bronze,True
CLR-00011,2023-07-11,25-34,M,Lyon,Auvergne-Rhône-Alpes,store,bronze,True
CLR-00012,2019-05-27,45-54,F,Versailles,Île-de-France,omnichannel,gold,True
CLR-00013,2019-01-01,45-54,M,Nanterre,Île-de-France,store,gold,True
CLR-00014,2022-06-01,18-24,M,Lyon,Auvergne-Rhône-Alpes,store,bronze,True
CLR-00015,2021-04-27,25-34,M,Annecy,Auvergne-Rhône-Alpes,store,gold,True
CLR-00016,2024-02-12,45-54,M,Créteil,Île-de-France,store,gold,True
CLR-00017,2023-01-28,35-44,F,Poitiers,Nouvelle-Aquitaine,online,bronze,True
CLR-00018,2021-07-02,35-44,M,Lyon,Auvergne-Rhône-Alpes,online,bronze,False
CLR-00019,2024-02-05,18-24,F,Montreuil,Île-de-France,online,gold,False
CLR-00020,2024-04-21,45-54,M,Nîmes,Occitanie,online,gold,True
CLR-00021,2023-01-28,55+,F,Colmar,Grand Est,online,bronze,True
CLR-00022,2020-04-12,45-54,F,Saint-Nazaire,Pays de la Loire,store,bronze,True
CLR-00023,2021-06-27,25-34,M,Paris,Île-de-France,online,silver,True
CLR-00024,2022-10-30,55+,M,Lyon,Auvergne-Rhône-Alpes,online,silver,True
CLR-00025,2022-04-10,18-24,F,Saint-Denis,Île-de-France,store,bronze,True
CLR-00026,2020-03-11,25-34,F,Le Havre,Normandie,store,platinum,True
CLR-00027,2020-11-03,45-54,F,Toulouse,Occitanie,store,bronze,True
CLR-00028,2020-07-29,35-44,F,Perpignan,Occitanie,omnichannel,bronze,True
CLR-00029,2023-08-04,35-44,M,Montreuil,Île-de-France,online,silver,True
CLR-00030,2021-11-07,25-34,M,Toulouse,Occitanie,store,platinum,True
CLR-00031,2021-03-13,18-24,M,Annecy,Auvergne-Rhône-Alpes,omnichannel,bronze,True
CLR-00032,2020-05-09,35-44,F,Angers,Pays de la Loire,online,bronze,False
CLR-00033,2021-06-02,35-44,F,Cherbourg,Normandie,online,silver,False
CLR-00034,2021-02-19,45-54,M,Lorient,Bretagne,online,bronze,False
CLR-00035,2020-03-17,18-24,F,Nîmes,Occitanie,store,bronze,True
CLR-00036,2019-07-10,35-44,M,La Rochelle,Nouvelle-Aquitaine,online,silver,True
CLR-00037,2020-05-19,45-54,M,Villeurbanne,Auvergne-Rhône-Alpes,omnichannel,silver,True
CLR-00038,2024-01-20,25-34,F,Montreuil,Île-de-France,online,platinum,True
CLR-00039,2024-08-27,35-44,M,Lorient,Bretagne,store,silver,True
CLR-00040,2024-08-05,45-54,F,Boulogne-Billancourt,Île-de-France,online,silver,True
CLR-00041,2019-07-18,55+,M,Tours,Centre-Val de Loire,store,bronze,False
CLR-00042,2023-11-08,55+,M,Avignon,Provence-Alpes-Côte d'Azur,omnichannel,bronze,True
CLR-00043,2024-09-13,25-34,F,Saint-Nazaire,Pays de la Loire,store,platinum,True
CLR-00044,2020-12-12,18-24,F,Limoges,Nouvelle-Aquitaine,omnichannel,bronze,True
CLR-00045,2020-02-29,45-54,M,Brest,Bretagne,store,bronze,True
CLR-00046,2022-08-11,45-54,M,Mulhouse,Grand Est,omnichannel,silver,True
CLR-00047,2023-04-25,35-44,M,Nancy,Grand Est,omnichannel,gold,True
CLR-00048,2021-10-13,18-24,F,Clermont-Ferrand,Auvergne-Rhône-Alpes,online,silver,True
CLR-00049,2023-06-18,35-44,F,Saint-Denis,Île-de-France,online,gold,True
CLR-00050,2022-04-19,35-44,M,Saint-Denis,Île-de-France,online,silver,True
CLR-00051,2020-06-30,35-44,F,Versailles,Île-de-France,store,silver,False
